2026-05-02T00:18:59.950+08:00 [DEBU] {05f77c80627dab1824111e379d058068} [  6 ms] [default] [gfast_v32] [rows:32 ] SHOW TABLES
2026-05-02T00:18:59.955+08:00 [DEBU] {05f77c80627dab1824111e379d058068} [  4 ms] [default] [gfast_v32] [rows:14 ] SHOW FULL COLUMNS FROM `sys_job`
2026-05-02T00:18:59.961+08:00 [DEBU] {05f77c80627dab1824111e379d058068} [  6 ms] [default] [gfast_v32] [rows:1  ] SELECT `job_id`,`job_name`,`job_params`,`job_group`,`invoke_target`,`cron_expression`,`misfire_policy`,`concurrent`,`status`,`created_by`,`updated_by`,`remark`,`created_at`,`updated_at` FROM `sys_job` WHERE `status`=0
2026-05-02T00:18:59.963+08:00 [DEBU] {05f77c80627dab1824111e379d058068} [  1 ms] [default] [gfast_v32] [rows:0  ] UPDATE `sys_job` SET `status`=0 WHERE `job_id`=8
2026-05-02T00:19:29.936+08:00 [DEBU] {05f77c80627dab1824111e379d058068} [  0 ms] [default] [gfast_v32] [rows:1  ] SELECT `job_id`,`job_name`,`job_params`,`job_group`,`invoke_target`,`cron_expression`,`misfire_policy`,`concurrent`,`status`,`created_by`,`updated_by`,`remark`,`created_at`,`updated_at` FROM `sys_job` WHERE `status`=0
2026-05-02T00:20:05.943+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  8 ms] [default] [gfast_v32] [rows:8  ] SHOW FULL COLUMNS FROM `sys_user_online`
2026-05-02T00:20:05.944+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T00:20:05.945+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  0 ms] [default] [gfast_v32] [rows:2  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-05-02T00:20:05.950+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  4 ms] [default] [gfast_v32] [rows:1  ] DELETE FROM `sys_user_online` WHERE `token`='7ZUSfVIf2HyYjcv86SKPPs29v003ECPEScsdYsYYqO34NPWToda7vzRxbAEp7oUu2MXVlOz96u6A7XxPi747CMcxRIWqWFEVvl9DQqzAGOxr7mXYAKMdiix14j03MJkSDCxTrLvDnUE5kChvPbgTxw=='
2026-05-02T00:20:05.955+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  4 ms] [default] [gfast_v32] [rows:1  ] DELETE FROM `sys_user_online` WHERE `token`='7ZUSfVIf2HyYjcv86SKPPs29v003ECPEScsdYsYYqO34NPWToda7vzRxbAEp7oUu907P0gvg977z4eFjRLPmcKh9qzZQP27m4GfD5aN0CJVZ7+3olgsD9P9IvjfGtMrMq0fFyVHzeVxh2FsEsqxyvg=='
2026-05-02T00:20:05.956+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-05-02T00:20:05.956+08:00 [DEBU] {b42e9281627dab1825111e37f613fc72} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 50,50
